City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
320,Mendi,PG,-6.1761,143.6513,66.45,79,98,3.78,Clouds
321,Botou,CN,38.0667,116.5667,67.28,25,100,6.26,Clouds
322,Necochea,AR,-38.5473,-58.7368,57.13,89,91,8.95,Clouds
323,Asau,RO,46.4333,26.4,31.28,85,53,4.97,Clouds
324,Bridlington,GB,54.0831,-0.1919,50.9,90,74,8.01,Clouds
325,Cobija,BO,-11.0267,-68.7692,76.21,74,93,4.94,Clouds
326,Evensk,RU,61.95,159.2333,30.29,90,100,4.16,Clouds
327,Marion,US,39.7684,-86.1555,47.19,51,100,12.66,Clouds
328,Ayagoz,KZ,47.9714,80.4392,62.82,19,79,3.62,Clouds
329,Archidona,ES,37.0965,-4.3887,58.91,62,98,3.69,Clouds
330,Fort Nelson,CA,58.8053,-122.7002,20.79,42,75,0.0,Clouds
331,Rawson,AR,-43.3002,-65.1023,61.27,70,1,21.85,Clear
332,Teguldet,RU,57.3064,88.1667,35.92,64,72,8.75,Clouds
333,Bosaso,SO,11.2842,49.1816,83.95,56,1,5.41,Clear
334,Vila Franca Do Campo,PT,37.7167,-25.4333,57.61,72,81,13.35,Clouds
335,Linjiang,CN,41.8069,126.9078,57.76,29,62,10.11,Clouds
336,Punta Gorda,US,26.9298,-82.0454,79.0,73,0,5.99,Clear
337,Faya,SA,18.3851,42.4509,62.71,37,12,3.42,Clouds
338,Talcahuano,CL,-36.7167,-73.1167,49.68,100,40,4.61,Clouds
339,Kodiak,US,57.79,-152.4072,40.51,65,100,13.8,Clouds
340,Mount Isa,AU,-20.7333,139.5,91.17,16,0,9.22,Clear
341,Asosa,ET,10.0667,34.5333,64.89,77,29,5.12,Clouds
342,Dauphin,CA,51.1494,-100.0502,23.14,80,100,4.61,Clouds
343,Guarapari,BR,-20.6667,-40.4975,73.89,82,51,9.78,Clouds
344,Mao,ES,39.8885,4.2658,50.56,93,0,5.75,Clear
345,Dunmore Town,BS,25.5,-76.65,76.15,80,12,14.76,Clouds
346,Voiron,FR,45.3639,5.5921,48.06,71,1,2.75,Clear
347,Flinders,AU,-34.5833,150.8552,80.19,60,100,4.0,Clouds
348,Talisay,PH,10.2447,123.8494,86.02,66,40,10.36,Clouds
349,Sile,TR,41.1754,29.6133,50.58,77,100,7.0,Clouds
350,Nicoya,CR,10.1483,-85.452,80.44,75,100,4.25,Clouds
