City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
160,Chuy,UY,2022-04-10 00:56:52,-33.6971,-53.4616,65.03,91,26,8.37
161,Dalbandin,PK,2022-04-10 00:56:52,28.8947,64.4101,74.88,10,48,1.03
162,Arauca,CO,2022-04-10 00:56:52,7.0847,-70.7591,86.0,65,82,8.05
163,Niquero,CU,2022-04-10 00:56:53,20.0431,-77.5828,76.71,81,26,19.39
164,Yarmouth,US,2022-04-10 00:56:53,41.7057,-70.2286,48.96,91,0,5.01
165,Jiangyou,CN,2022-04-10 00:56:53,31.7667,104.7167,70.29,59,1,2.86
166,Casablanca,MA,2022-04-10 00:56:45,33.5928,-7.6192,62.33,77,38,10.0
167,Avera,US,2022-04-10 00:56:54,33.194,-82.5271,47.71,54,25,6.31
168,Arraial Do Cabo,BR,2022-04-10 00:56:54,-22.9661,-42.0278,76.53,90,96,10.78
169,Moctezuma,MX,2022-04-10 00:56:54,29.8,-109.6667,83.66,17,0,17.69
170,Olafsvik,IS,2022-04-10 00:56:55,64.8945,-23.7142,38.12,93,100,29.3
171,Pacific Grove,US,2022-04-10 00:53:11,36.6177,-121.9166,74.44,67,0,16.11
172,Samana,DO,2022-04-10 00:56:55,19.2056,-69.3369,74.8,81,49,5.93
173,Hilo,US,2022-04-10 00:53:35,19.7297,-155.09,73.13,93,100,11.01
174,Kruisfontein,ZA,2022-04-10 00:56:56,-34.0033,24.7314,62.89,94,65,8.03
175,Marysville,US,2022-04-10 00:53:27,48.0518,-122.1771,49.96,60,40,17.27
176,Ribeira Grande,PT,2022-04-10 00:56:56,38.5167,-28.7,56.62,67,29,35.5
177,Were Ilu,ET,2022-04-10 00:56:56,10.6,39.4333,51.28,55,9,4.72
178,Sovkhoznyy,RU,2022-04-10 00:56:57,45.2946,38.1138,47.48,80,43,6.85
179,Okhotsk,RU,2022-04-10 00:56:57,59.3833,143.3,24.69,87,100,5.26
180,Mount Isa,AU,2022-04-10 00:56:57,-20.7333,139.5,92.97,29,8,12.66
181,Nantucket,US,2022-04-10 00:56:58,41.2835,-70.0995,46.99,91,0,20.2
182,Varkaus,FI,2022-04-10 00:56:58,62.3153,27.873,29.3,81,23,9.44
183,Cabo San Lucas,MX,2022-04-10 00:56:58,22.8909,-109.9124,80.62,65,1,11.99
184,Belyy Yar,RU,2022-04-10 00:56:59,53.6039,91.3903,32.86,81,40,6.71
185,Gravelbourg,CA,2022-04-10 00:56:59,49.8834,-106.5512,44.87,42,100,12.01
186,Adrar,MR,2022-04-10 00:57:59,20.5022,-10.0711,76.44,8,0,8.08
187,Thunder Bay,CA,2022-04-10 00:56:52,48.4001,-89.3168,42.78,58,20,5.75
188,Prince Rupert,CA,2022-04-10 00:58:00,54.3161,-130.3201,40.69,87,20,3.44
189,Kavaratti,IN,2022-04-10 00:58:00,10.5669,72.642,83.05,75,100,6.31
190,Pontianak,ID,2022-04-10 00:58:00,-0.0333,109.3333,76.98,88,20,4.61
191,Fortuna,US,2022-04-10 00:58:00,40.5982,-124.1573,55.85,69,40,23.02
192,Kholodnyy,RU,2022-04-10 00:58:01,62.7167,147.95,3.16,67,100,5.12
193,Bonavista,CA,2022-04-10 00:58:01,48.6499,-53.1147,33.4,98,100,18.32
